model_name,feature,coefficient_scaled,abs_coefficient_scaled,tree_importance
ridge_alpha_10,tx_count,2.637534635141492e-09,2.637534635141492e-09,
ridge_alpha_10,min_total_fee,1.382431946694851e-09,1.382431946694851e-09,
ridge_alpha_10,tx_count_change_6h,7.275957614183426e-11,7.275957614183426e-11,
ridge_alpha_10,tx_count_change_1h,-5.275069270282984e-11,5.275069270282984e-11,
ridge_alpha_10,tx_count_change_3h,4.9112713895738125e-11,4.9112713895738125e-11,
ridge_alpha_10,tx_count_change_24h,1.3642420526593924e-11,1.3642420526593924e-11,
ridge_alpha_100,failed_tx_ratio,31558.653192510596,31558.653192510596,
ridge_alpha_100,hour_cos,27029.09873162004,27029.09873162004,
ridge_alpha_100,rolling_avg_fee_12h,21796.677602822445,21796.677602822445,
ridge_alpha_100,day_sin,-19681.860598468385,19681.860598468385,
ridge_alpha_100,day_of_week,-18293.737070345218,18293.737070345218,
ridge_alpha_100,rolling_avg_fee_24h,16203.136828468665,16203.136828468665,
ridge_alpha_100,rolling_std_fee_6h,-15864.485706519517,15864.485706519517,
ridge_alpha_100,unique_accounts,15841.1084329529,15841.1084329529,
ridge_alpha_100,fee_lag_1h,15416.114761367084,15416.114761367084,
ridge_alpha_100,avg_storage_fee,13774.781018211052,13774.781018211052,
ridge_alpha_100,avg_msg_size_bits,13118.488259543476,13118.488259543476,
ridge_alpha_100,rolling_avg_fee_3h,13014.356140796532,13014.356140796532,
ridge_alpha_100,p90_fee_change_6h,11893.579690820712,11893.579690820712,
ridge_alpha_100,avg_total_fee,11291.030059607197,11291.030059607197,
ridge_alpha_100,std_total_fee,-11023.197673308201,11023.197673308201,
ridge_alpha_100,avg_gas_used,10402.074292616657,10402.074292616657,
ridge_alpha_100,avg_compute_fee,10381.34896420157,10381.34896420157,
ridge_alpha_100,p90_total_fee,-9970.669098487891,9970.669098487891,
ridge_alpha_100,hour_sin,9864.798219677083,9864.798219677083,
ridge_alpha_100,avg_action_fee,9548.988620612214,9548.988620612214,
ridge_alpha_100,gas_used_change_1h,-9376.621853132114,9376.621853132114,
ridge_alpha_100,max_total_fee,-9355.101001999446,9355.101001999446,
ridge_alpha_100,gas_used_change_6h,9177.292186298586,9177.292186298586,
ridge_alpha_100,fee_change_12h,9125.234908949953,9125.234908949953,
ridge_alpha_100,fee_lag_3h,8580.381769749813,8580.381769749813,
ridge_alpha_100,avg_import_fee,-8366.86105257464,8366.86105257464,
ridge_alpha_100,rolling_avg_fee_6h,8323.811941598806,8323.811941598806,
ridge_alpha_100,fee_change_24h,8269.345487814115,8269.345487814115,
ridge_alpha_100,avg_vm_steps,8222.045835032772,8222.045835032772,
ridge_alpha_100,p90_fee_change_3h,-7779.125014598945,7779.125014598945,
ridge_alpha_100,rolling_std_fee_24h,-7737.244126796754,7737.244126796754,
ridge_alpha_100,hour_of_day,-7011.627149546144,7011.627149546144,
ridge_alpha_100,fee_change_6h,7001.604357083155,7001.604357083155,
ridge_alpha_100,avg_forward_fee,6943.612638276538,6943.612638276538,
ridge_alpha_100,gas_used_change_3h,6477.595448250262,6477.595448250262,
ridge_alpha_100,fee_change_1h,-5845.580421719331,5845.580421719331,
ridge_alpha_100,day_cos,5613.006959869757,5613.006959869757,
ridge_alpha_100,action_success_ratio,-5081.222542556374,5081.222542556374,
ridge_alpha_100,is_weekend,-4451.868173376968,4451.868173376968,
ridge_alpha_100,median_gas_used,-3370.0801148721257,3370.0801148721257,
ridge_alpha_100,avg_msgs_created,3335.422390942789,3335.422390942789,
ridge_alpha_100,gas_used_change_24h,-2792.671732741523,2792.671732741523,
ridge_alpha_100,avg_msg_size_cells,-2541.4566527124916,2541.4566527124916,
ridge_alpha_100,fee_lag_6h,2511.744336234925,2511.744336234925,
ridge_alpha_100,total_transaction_value,2446.913307174509,2446.913307174509,
ridge_alpha_100,avg_transaction_value,2446.9133071742053,2446.9133071742053,
ridge_alpha_100,avg_out_msg_count,2414.9437391103465,2414.9437391103465,
ridge_alpha_100,p90_fee_change_1h,1986.654379316677,1986.654379316677,
ridge_alpha_100,p90_fee_change_24h,1920.438564822899,1920.438564822899,
ridge_alpha_100,compute_success_ratio,1655.1347065015827,1655.1347065015827,
ridge_alpha_100,fee_change_3h,1622.443536179542,1622.443536179542,
ridge_alpha_100,fee_lag_24h,-1072.6252567329384,1072.6252567329384,
ridge_alpha_100,same_hour_prev_day_fee,-1072.6252567329102,1072.6252567329102,
ridge_alpha_100,fee_lag_12h,407.2535748892342,407.2535748892342,
ridge_alpha_100,median_total_fee,-155.62438455906613,155.62438455906613,
ridge_alpha_100,tx_count,3.383320290595293e-10,3.383320290595293e-10,
ridge_alpha_100,min_total_fee,-4.229150363244116e-11,4.229150363244116e-11,
ridge_alpha_100,tx_count_change_6h,-3.637978807091713e-12,3.637978807091713e-12,
ridge_alpha_100,tx_count_change_1h,-2.8421709430404007e-12,2.8421709430404007e-12,
ridge_alpha_100,tx_count_change_24h,9.094947017729282e-13,9.094947017729282e-13,
ridge_alpha_100,tx_count_change_3h,0.0,0.0,
ridge_alpha_1_log1p_target,p90_total_fee,-0.03762925769725132,0.03762925769725132,
ridge_alpha_1_log1p_target,fee_change_1h,-0.03540295285854808,0.03540295285854808,
ridge_alpha_1_log1p_target,avg_forward_fee,-0.03474176339264995,0.03474176339264995,
ridge_alpha_1_log1p_target,avg_msg_size_bits,0.034307447004357866,0.034307447004357866,
ridge_alpha_1_log1p_target,avg_total_fee,0.029706347340368488,0.029706347340368488,
ridge_alpha_1_log1p_target,failed_tx_ratio,0.028480484956797225,0.028480484956797225,
ridge_alpha_1_log1p_target,avg_action_fee,0.027083797988067742,0.027083797988067742,
ridge_alpha_1_log1p_target,std_total_fee,-0.024474164042720705,0.024474164042720705,
ridge_alpha_1_log1p_target,avg_storage_fee,0.020404489421443767,0.020404489421443767,
ridge_alpha_1_log1p_target,p90_fee_change_6h,0.020015472956013657,0.020015472956013657,
ridge_alpha_1_log1p_target,rolling_avg_fee_12h,0.018677893850899338,0.018677893850899338,
